# List of supernova remnants and their gamma-ray line fluxes from the decay of nucleus 126Sn at 414.7, 666.5 and 695.0, and 720.7 keV.
# Fluxes are calculated by assuming a ejecta mass of 0.01 solar mass, containing number fraction of 126Sn of 1.7*10^-4.
# Note that this list only contains those SNRs with both the age and distance information available from http://www.physics.umanitoba.ca/snr/SNRcat/
# 
# Columns: 
#  1: longitude (phi) [degree] 
#  2: latitude (theta) [degree]
#  3: minimum age (t_min) [years]
#  4: maximum age (t_min) [years]
#  5: minimum distance (d_min) [kpc]
#  6: maximum distance (d_max) [kpc]
#  7: minimum vertical height (z_min) [kpc]
#  8: maximum vertical height (z_min) [kpc]
#  9: maximum line flux at 414.7 keV (f1_max) [10^-6 photon cm^-2 s^-1]
# 10: minimum line flux at 414.7 keV (f1_min) [10^-6 photon cm^-2 s^-1]
# 11: maximum line flux at 666.5 and 695.0 keV (f2_max) [10^-6 photon cm^-2 s^-1]
# 12: minimum line flux at 666.5 and 695.0 keV (f2_min) [10^-6 photon cm^-2 s^-1]
# 13: maximum line flux at 720.7 keV (f3_max) [10^-6 photon cm^-2 s^-1]
# 14: minimum line flux at 720.7 keV (f3_min) [10^-6 photon cm^-2 s^-1]
# 15 and beyond: SNR name and association information
#
#phi    theta   t_min   t_max   d_min   d_max   z_min   z_max   f1_max  f1_min  f2_max  f2_min  f3_max  f3_min
330	15	15000	31000	0.15	0.5	0.039	0.129	56.31	4.83	67.33	5.78	36.37	3.12	Lupus	Loop	contains	central	possibly	pulsating	X-ray	source																																																		
263.9	-3.3	9000	27000	0.25	0.3	-0.014	-0.017	20.64	13.58	24.68	16.24	13.33	8.77	Vela,	contains	NGC	2736	=	Pencil	Nebula, 0FGL	J0835.4-4510, 1FGL	J0835.3-4510, 2FGL	J0842.9-4721	and	J0835-4510	and	J0833.1-4511e, 1FHL	J0833.1-4511e	and	J0835.3-4510, 3FGL	J0835.3-4510	and	J0833.1-4511e	and	J0838.1-4615	and	J0839.1-4739	and	J0843.1-4546, 2FHL	J0833.1-4511e	and	J0835.3-4511, 1AGL	J0835-4509, HESS	J0835-455	overlaps	SNR	G260.4-3.4	and	SNR	G266.2-1.2,	contains	PSR	B0833-45	=	J0835-4510	=	Vela	+	PWN	Vela	X	(unrelated	to	eclipsing	binary	Vela	X-1),	interacts	with	molecular	cloud?
276.5	19	1000000	6000000	0.06	0.34	0.02	0.111	18.12	0.00	21.66	0.00	11.70	0.00	Antlia	very	large	loop,	close	to	several	PSRs,	with	PSR	J0630-2834	=	B0628-28	the	best	candidate	for	a	common	origin,	also	PSR	J0953+0755	=	B0950+08	suggested																																
160.9	2.6	4000	7000	0.4	1.2	0.018	0.054	8.19	0.90	9.79	1.08	5.29	0.58	HB9, G160.5+2.8, G160.4+2.8, 1FGL	J0503.2+4526, 2FGL	J0503.2+4643	close	to	SGR	0501+4516	=	magnetar	(possibly	related),	contains	PSR	B0459+47	=	J0502+4654	(probably	unrelated),	interacts	with	molecular	cloud??																																				
266.2	-1.2	2400	5100	0.5	1	-0.01	-0.021	5.26	1.31	6.29	1.56	3.40	0.84	Vela	Jr,	RX	J0852.0-4622, CXOU	J085201.4-461753, RX	J0852.0-4622, AX	J0851.9-4617.4, 1FGL	J0854.0-4632, 2FGL	J0848.5-4535	and	J0851.7-4635	and	J0853.5-4711	and	J0855.4-4625, 1FHL	J0852.7-4631e, 3FGL	J0852.7-4631e, 2FHL	J0852.8-4631e, FGES	J0851.9-4620, 3FHL	J0851.9-4620e, HESS	J0852-463	overlaps	SNR	G263.9-3.3	=	Vela,	contains	CCO	CXOU	J085201.4-461753,	PSR	J0855-4644	+	PWN	G266.97-1.00	at	the	edge																				
73.9	0.9	11000	12000	0.5	4	0.008	0.063	5.13	0.08	6.13	0.10	3.31	0.05	3FGL	J2014.4+3606	interacts	with	molecular	cloud?																																																				
74	-8.5	10000	20000	0.576	1	-0.085	-0.148	3.88	1.25	4.64	1.49	2.50	0.81	Cygnus	Loop,	W78,	Sh2-103,	contains	Veil	Nebula,	NGC	6960,	NGC	6992,	NGC	6995,	NGC	6974,	NGC	6979,	IC	1340, 2XMM	J204920.2+290106, 1FGL	J2046.4+3041	and	J2049.1+3142	and	J2055.2+3144	and	J2057.4+3057, 2FGL	J2051.0+3040e, 3FGL	J2051.0+3040e, 3FHL	J2051.0+3040e	contains	several	compact	sources,	PWN	candidate	2XMM	J204920.2+290106,	interacts	with	molecular	cloud?																
205.5	0.5	30000	150000	0.6	1.98	0.005	0.017	3.36	0.22	4.02	0.26	2.17	0.14	Monoceros	Loop, G205.5+00.2, 1FGL	J0636.0+0458c, 2FGL	J0631.6+0640	and	J0636.0+0554	and	J0637.8+0737, 3FGL	J0631.6+0644	and	J0640.9+0752, HESS	J0632+057	contains	binary?	interacts	with	Rosette	nebula,	close	to	SNR	G206.9+02.3,	interacts	with	molecular	cloud??																																
189.1	3	3000	30000	0.7	2	0.037	0.105	2.68	0.30	3.21	0.36	1.73	0.20	IC443,	3C157,	Sh2-248,	Jellyfish	Nebula, 0FGL	J0617.4+2234, 1FGL	J0617.2+2233, 2FGL	J0617.2+2234e, 1FHL	J0617.2+2234e, 3FGL	J0617.2+2234e, 2FHL	J0617.2+2234e, FGES	J0617.2+2235	and	J0619.6+2229, 3FHL	J0617.2+2234e, 1AGL	J0617+2236, VER	J0616.9+2230, MAGIC	J0616+225	next	to	HII	region	S249,	overlaps	SNR	G189.6+03.3,	contains	runaway	NS	CXOU	J061705.3+222127	+	PWN	G189.23+2.90,	interacts	with	molecular	cloud	837																			
114.3	0.3	7700	7700	0.7	0.7	0.004	0.004	2.64	2.64	3.16	3.16	1.71	1.71	2FGL	J2333.3+6237	contains	HII	region	S165	and	PSR	2334+61																																																	
